,Unnamed: 0,disease,workout
169,169,Dengue,Follow medical recommendations
170,170,Typhoid,Consume easily digestible foods
171,171,Typhoid,Stay hydrated
172,172,Typhoid,Include nutrient-rich foods
173,173,Typhoid,Consume foods rich in vitamin C and antioxidants
174,174,Typhoid,Include protein-rich foods
175,175,Typhoid,Avoid fatty and greasy foods
176,176,Typhoid,Consult a healthcare professional
177,177,Typhoid,Gradually resume normal diet
178,178,Typhoid,Follow medical recommendations
179,179,Typhoid,Avoid alcohol and caffeine
180,180,hepatitis A,Stay hydrated
181,181,hepatitis A,Consume nutrient-rich foods
182,182,hepatitis A,Include protein-rich foods
183,183,hepatitis A,Consume easily digestible foods
184,184,hepatitis A,Limit fatty foods
185,185,hepatitis A,Avoid alcohol and caffeine
186,186,hepatitis A,Include vitamin C-rich foods
187,187,hepatitis A,Consult a healthcare professional
188,188,hepatitis A,Rest and conserve energy
189,189,hepatitis A,Gradually resume normal diet
190,190,Hepatitis B,Follow a balanced and nutritious diet
191,191,Hepatitis B,Stay hydrated
192,192,Hepatitis B,Include protein-rich foods
193,193,Hepatitis B,Consume nutrient-rich foods
194,194,Hepatitis B,Limit fatty foods
195,195,Hepatitis B,Avoid alcohol and caffeine
196,196,Hepatitis B,Include vitamin C-rich foods
197,197,Hepatitis B,Consult a healthcare professional
198,198,Hepatitis B,Rest and conserve energy
199,199,Hepatitis B,Gradually resume normal diet
200,200,Hepatitis C,Follow a balanced and nutritious diet
201,201,Hepatitis C,Stay hydrated
202,202,Hepatitis C,Include protein-rich foods
203,203,Hepatitis C,Consume nutrient-rich foods
204,204,Hepatitis C,Limit fatty foods
205,205,Hepatitis C,Avoid alcohol and caffeine
206,206,Hepatitis C,Include vitamin C-rich foods
207,207,Hepatitis C,Consult a healthcare professional
208,208,Hepatitis C,Rest and conserve energy
209,209,Hepatitis C,Gradually resume normal diet
210,210,Hepatitis D,Follow a balanced and nutritious diet
211,211,Hepatitis D,Stay hydrated
212,212,Hepatitis D,Include protein-rich foods
213,213,Hepatitis D,Consume nutrient-rich foods
214,214,Hepatitis D,Limit fatty foods
215,215,Hepatitis D,Avoid alcohol and caffeine
216,216,Hepatitis D,Include vitamin C-rich foods
217,217,Hepatitis D,Consult a healthcare professional
218,218,Hepatitis D,Rest and conserve energy
219,219,Hepatitis D,Gradually resume normal diet
220,220,Hepatitis E,Stay hydrated
221,221,Hepatitis E,Consume nutrient-rich foods
222,222,Hepatitis E,Include protein-rich foods
223,223,Hepatitis E,Consume easily digestible foods
224,224,Hepatitis E,Limit fatty foods
225,225,Hepatitis E,Avoid alcohol and caffeine
226,226,Hepatitis E,Include vitamin C-rich foods
227,227,Hepatitis E,Consult a healthcare professional
228,228,Hepatitis E,Rest and conserve energy
229,229,Hepatitis E,Gradually resume normal diet
230,230,Alcoholic hepatitis,Avoid alcohol consumption
231,231,Alcoholic hepatitis,Follow a balanced and nutritious diet
232,232,Alcoholic hepatitis,Stay hydrated
233,233,Alcoholic hepatitis,Consume nutrient-rich foods
234,234,Alcoholic hepatitis,Include protein-rich foods
235,235,Alcoholic hepatitis,Limit fatty foods
236,236,Alcoholic hepatitis,Include antioxidants
237,237,Alcoholic hepatitis,Consult a healthcare professional
238,238,Alcoholic hepatitis,Rest and conserve energy
239,239,Alcoholic hepatitis,Gradually resume normal diet
240,240,Tuberculosis,Consume a high-protein diet
241,241,Tuberculosis,Include nutrient-rich foods
242,242,Tuberculosis,Stay hydrated
243,243,Tuberculosis,Consume foods rich in vitamins A and C
244,244,Tuberculosis,Include zinc-rich foods
245,245,Tuberculosis,Limit sugary foods and beverages
246,246,Tuberculosis,Consult a healthcare professional
247,247,Tuberculosis,Rest and conserve energy
248,248,Tuberculosis,Gradually resume normal diet
249,249,Tuberculosis,Follow medical recommendations
250,250,Common Cold,Stay hydrated
251,251,Common Cold,Include nutrient-rich foods
252,252,Common Cold,Consume foods rich in vitamin C and antioxidants
253,253,Common Cold,Include zinc-rich foods
254,254,Common Cold,Limit sugary foods and beverages
255,255,Common Cold,Consume chicken soup
256,256,Common Cold,Consult a healthcare professional
257,257,Common Cold,Rest and conserve energy
258,258,Common Cold,Gradually resume normal diet
259,259,Common Cold,Follow medical recommendations
260,260,Pneumonia,Stay hydrated
261,261,Pneumonia,Include nutrient-rich foods
262,262,Pneumonia,Consume foods rich in vitamin C and antioxidants
263,263,Pneumonia,Include zinc-rich foods
264,264,Pneumonia,Limit sugary foods and beverages
265,265,Pneumonia,Consume chicken soup
266,266,Pneumonia,Consult a healthcare professional
267,267,Pneumonia,Rest and conserve energy
268,268,Pneumonia,Gradually resume normal diet
269,269,Pneumonia,Follow medical recommendations
270,270,Dimorphic hemmorhoids(piles),Consume high-fiber foods
271,271,Dimorphic hemmorhoids(piles),Stay hydrated
272,272,Dimorphic hemmorhoids(piles),Include nutrient-rich foods
273,273,Dimorphic hemmorhoids(piles),Consume foods rich in flavonoids
274,274,Dimorphic hemmorhoids(piles),Limit processed foods
275,275,Dimorphic hemmorhoids(piles),Avoid spicy and greasy foods
276,276,Dimorphic hemmorhoids(piles),Consult a healthcare professional
277,277,Dimorphic hemmorhoids(piles),Practice good hygiene
278,278,Dimorphic hemmorhoids(piles),Gradually resume normal diet
279,279,Dimorphic hemmorhoids(piles),Follow medical recommendations
280,280,Heart attack,Follow a heart-healthy diet
281,281,Heart attack,Limit sodium intake
282,282,Heart attack,Include fiber-rich foods
283,283,Heart attack,Consume healthy fats
284,284,Heart attack,Include lean proteins
285,285,Heart attack,Limit sugary foods and beverages
286,286,Heart attack,Stay hydrated
287,287,Heart attack,Consult a healthcare professional
288,288,Heart attack,Follow medical recommendations
289,289,Heart attack,Engage in regular exercise
290,290,Varicose veins,Consume a high-fiber diet
291,291,Varicose veins,Stay hydrated
292,292,Varicose veins,Include nutrient-rich foods
293,293,Varicose veins,Consume foods rich in antioxidants
294,294,Varicose veins,Limit sodium intake
295,295,Varicose veins,Include flavonoid-rich foods
296,296,Varicose veins,Avoid standing or sitting for long periods
297,297,Varicose veins,Consult a healthcare professional
298,298,Varicose veins,Follow medical recommendations
299,299,Varicose veins,Engage in regular exercise
300,300,Hypothyroidism,Include iodine-rich foods
301,301,Hypothyroidism,Consume selenium-rich foods
302,302,Hypothyroidism,Stay hydrated
303,303,Hypothyroidism,Include nutrient-rich foods
304,304,Hypothyroidism,Limit processed foods
305,305,Hypothyroidism,Consume foods rich in vitamins B and D
306,306,Hypothyroidism,Consult a healthcare professional
307,307,Hypothyroidism,Follow medical recommendations
308,308,Hypothyroidism,Maintain a stable weight
309,309,Hypothyroidism,Engage in regular exercise
310,310,Hyperthyroidism,Limit iodine intake
311,311,Hyperthyroidism,Consume cruciferous vegetables in moderation
312,312,Hyperthyroidism,Stay hydrated
313,313,Hyperthyroidism,Include nutrient-rich foods
314,314,Hyperthyroidism,Limit caffeine and alcohol
315,315,Hyperthyroidism,Include omega-3 fatty acids
316,316,Hyperthyroidism,Consult a healthcare professional
317,317,Hyperthyroidism,Follow medical recommendations
318,318,Hyperthyroidism,Maintain a stable weight
319,319,Hyperthyroidism,Engage in regular exercise
320,320,Hypoglycemia,Consume complex carbohydrates
321,321,Hypoglycemia,Include protein-rich foods
322,322,Hypoglycemia,Stay hydrated
323,323,Hypoglycemia,Limit sugary foods and beverages
324,324,Hypoglycemia,Consume regular meals and snacks
325,325,Hypoglycemia,Consult a healthcare professional
326,326,Hypoglycemia,Monitor blood sugar levels
327,327,Hypoglycemia,Follow medical recommendations
328,328,Hypoglycemia,Engage in regular physical activity
329,329,Hypoglycemia,Limit alcohol intake
330,330,Osteoarthristis,Consume anti-inflammatory foods
331,331,Osteoarthristis,Include omega-3 fatty acids
332,332,Osteoarthristis,Consume antioxidant-rich foods
333,333,Osteoarthristis,Stay hydrated
334,334,Osteoarthristis,Limit processed foods
335,335,Osteoarthristis,Include vitamin K-rich foods
336,336,Osteoarthristis,Consult a healthcare professional
337,337,Osteoarthristis,Follow medical recommendations
338,338,Osteoarthristis,Engage in low-impact exercise
339,339,Osteoarthristis,Maintain a healthy weight
340,340,Arthritis,Consume anti-inflammatory foods
341,341,Arthritis,Include omega-3 fatty acids
342,342,Arthritis,Consume antioxidant-rich foods
343,343,Arthritis,Stay hydrated
344,344,Arthritis,Limit processed foods
345,345,Arthritis,Include vitamin K-rich foods
346,346,Arthritis,Consult a healthcare professional
347,347,Arthritis,Follow medical recommendations
348,348,Arthritis,Engage in low-impact exercise
349,349,Arthritis,Maintain a healthy weight
350,350,(vertigo) Paroymsal  Positional Vertigo,"Avoid trigger foods (caffeine, alcohol)"
351,351,(vertigo) Paroymsal  Positional Vertigo,Limit sodium intake
352,352,(vertigo) Paroymsal  Positional Vertigo,Stay hydrated
353,353,(vertigo) Paroymsal  Positional Vertigo,Consume ginger and ginkgo biloba
354,354,(vertigo) Paroymsal  Positional Vertigo,Limit artificial sweeteners
355,355,(vertigo) Paroymsal  Positional Vertigo,Consult a healthcare professional
356,356,(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements
357,357,(vertigo) Paroymsal  Positional Vertigo,Follow medical recommendations
358,358,(vertigo) Paroymsal  Positional Vertigo,Manage stress
359,359,(vertigo) Paroymsal  Positional Vertigo,Limit caffeine and stimulants
360,360,Acne,Consume a balanced diet
361,361,Acne,Limit dairy and high-glycemic foods
362,362,Acne,Include antioxidants
363,363,Acne,Stay hydrated
364,364,Acne,Limit processed foods
365,365,Acne,Include zinc-rich foods
366,366,Acne,Consult a skincare professional
367,367,Acne,Practice good skincare hygiene
368,368,Acne,Limit sugary foods and beverages
369,369,Acne,Follow medical recommendations
370,370,Urinary tract infection,Stay hydrated
371,371,Urinary tract infection,Consume cranberry products
372,372,Urinary tract infection,Include vitamin C-rich foods
373,373,Urinary tract infection,Limit caffeine and alcohol
374,374,Urinary tract infection,Consume probiotics
375,375,Urinary tract infection,Avoid spicy and acidic foods
376,376,Urinary tract infection,Consult a healthcare professional
377,377,Urinary tract infection,Follow medical recommendations
378,378,Urinary tract infection,Maintain good hygiene
379,379,Urinary tract infection,Limit sugary foods and beverages
380,380,Psoriasis,Consume anti-inflammatory foods
381,381,Psoriasis,Include omega-3 fatty acids
382,382,Psoriasis,Include vitamin D analogues
383,383,Psoriasis,Limit alcohol consumption
384,384,Psoriasis,Stay hydrated
385,385,Psoriasis,Consult a healthcare professional
386,386,Psoriasis,Limit processed foods
387,387,Psoriasis,Follow medical recommendations
388,388,Psoriasis,Manage stress
389,389,Psoriasis,Consider phototherapy under medical guidance
390,390,Impetigo,Maintain good hygiene
391,391,Impetigo,Stay hydrated
392,392,Impetigo,Consume nutrient-rich foods
393,393,Impetigo,Limit sugary foods and beverages
394,394,Impetigo,Include foods rich in vitamin C
395,395,Impetigo,Consult a healthcare professional
396,396,Impetigo,Follow medical recommendations
397,397,Impetigo,Avoid scratching
398,398,Impetigo,Take prescribed antibiotics
399,399,Impetigo,Practice wound care
400,400,Impetigo,Practice wound care
401,401,Influenza (Flu),Rest well to help your body recover.
402,402,Influenza (Flu),"Stay hydrated with fluids like water, soup, or herbal teas."
403,403,Influenza (Flu),"Take over-the-counter pain relievers (e.g., acetaminophen) to manage fever and aches."
404,404,Influenza (Flu),Use a humidifier or steam to ease congestion.
405,405,Influenza (Flu),Avoid smoking and secondhand smoke to protect your lungs.
406,406,Peptic ulcer diseae,"Avoid spicy, acidic, or fried foods that can irritate the stomach lining."
407,407,Peptic ulcer diseae,Limit caffeine and alcohol intake.
408,408,Peptic ulcer diseae,"Quit smoking, as it can delay healing and worsen symptoms."
409,409,Peptic ulcer diseae,Manage stress through relaxation techniques like deep breathing or meditation.
410,410,Peptic ulcer diseae,Stay hydrated by drinking plenty of water throughout the day.
411,411,Peptic ulcer diseae,Follow your healthcare providers guidance on medication and treatment.
412,412,Peptic ulcer diseae,Rest and avoid heavy physical activities during flare-ups.
413,413,Diabetes,Monitor carbohydrate intake
413,413,Diabetes,Eat balanced meals
413,413,Diabetes,Include lean proteins
413,413,Diabetes,Consume high-fiber foods
413,413,Diabetes,Stay hydrated
413,413,Diabetes,Limit sugary foods and beverages
413,413,Diabetes,Include healthy fats
413,413,Diabetes,Monitor blood sugar levels
